product_id,player_name,platform,player_unique_id,profile_unique_id,linked_steam_id,names_count,claimed_pid_count,non_steam_pid_count,ip_hash_count,proxy_hashes,vpn_hashes,hosting_hashes,inconsistency_count,inconsistencies
000204c9d6844f7fa4903be72a491f40,1983 Fiat Panda 287k Miles,PCVR,1983 Fiat Panda 287k Miles,76561198275808235,,2,1,0,9,0,0,0,1,player/profile unique_id mismatch
00020652fc4b4ab8b3404a8ff573b8bb,SpRSizBigMac,PCVR,76561198982940119,76561198982940119,,3,1,0,9,0,0,0,0,
0002073024c7452e84a0f02f42174d55,inf1n1te_g7aph,PCVR,76561199013700808,76561199013700808,,6,1,0,18,0,0,0,1,high IP-hash count: 18
0002076d1f1c4a17aa4100b193bb417b,Salted Cracker Jack,PCVR,76561199071612640,76561199071612640,,3,1,0,4,0,0,0,1,player/profile current_name mismatch
00020773f90f406ea4099a91eb2b20df,mattpacelli998,PCVR,76561199235780377,76561199235780377,,1,1,0,2,0,0,0,0,
00020b790862472f8d33b66059a2d5fa,Bruh69,PCVR,76561198856520824,76561198856520824,,2,1,0,14,2,0,2,2,"high IP-hash count: 14; network risk observations: proxy=2, vpn=0, hosting=2"
00020b7d35354858884deb13da8d16ee,duder99m,PCVR,76561199127566599,76561199127566599,,3,1,0,11,0,0,0,1,high IP-hash count: 11
00020b9c1c004dd09d8131d28063360c,Jelkiin,PCVR,76561198201953409,76561198201953409,,4,1,0,7,0,0,0,0,
00020da615ef4259a1d0810577691232,Somchai,PCVR,76561198195646921,76561198195646921,,3,1,0,16,0,0,0,1,high IP-hash count: 16
00020fc5aa6b4e62b239751f35b14dbf,MIDSIZESEDAN,PCVR,76561198432924345,76561198432924345,,1,1,0,5,0,0,0,0,
000211e6cf2b442cbda225ad6706c7ba,nate1517,PCVR,76561198849970999,76561198849970999,,1,1,0,13,0,0,0,1,high IP-hash count: 13
000213f2854241ac937c312a56b71606,****** KimJongUn,PCVR,76561199231014377,76561199231014377,,2,1,0,3,1,0,1,2,"player/profile current_name mismatch; network risk observations: proxy=1, vpn=0, hosting=1"
00021426bd6a409c9a3b823422a42407,Gregory,PCVR,76561199433855928,76561199433855928,,2,1,0,2,2,0,2,2,"player/profile current_name mismatch; network risk observations: proxy=2, vpn=0, hosting=2"
00021572e86d46c3a8f119d39f0ee89f,flybaseball19,PCVR,76561198409653620,76561198409653620,,3,1,0,8,0,0,0,0,
000217b408f844ddaa5b76829488ac1d,Sephiroth,PCVR,76561197969399369,76561197969399369,,2,1,0,4,0,0,0,0,
00021baed51543559c879b2805a62590,Highpolarbear22,PCVR,76561198327610694,76561198327610694,,7,1,0,5,0,0,0,0,
00021bc8e558428d948dbd5c66b0d9c8,EpicMCPower,PCVR,76561198154263133,76561198154263133,,3,1,0,51,23,1,24,2,"high IP-hash count: 51; network risk observations: proxy=23, vpn=1, hosting=24"
00021ef624dc488a9313f77eb1bf136f,Domer,PCVR,76561199013319644,76561198106055777,,1,1,0,3,0,0,0,1,player/profile unique_id mismatch
00021f8a317a4cb9805b470ad9026f78,Araku,PCVR,76561198049853770,76561198049853770,,1,1,0,7,0,0,0,0,
000221f826b44c5e9865818a6d6ade1a,Knuten,PCVR,76561198131434732,76561198131434732,,2,1,0,6,0,0,0,1,player/profile current_name mismatch
0002226e0cb34402b84213f481ec620e,British Colonist,PCVR,76561198284436453,76561198284436453,,3,1,0,12,0,0,0,1,high IP-hash count: 12
000223921cf246dfaf9b8e53f7b0a9c9,[1stAL] Taylor,PCVR,76561199079662115,76561199079662115,,10,1,0,10,1,0,1,3,"player/profile current_name mismatch; high IP-hash count: 10; network risk observations: proxy=1, vpn=0, hosting=1"
00022880d4694ef986cc89b8a972c1ae,George,PCVR,76561198304024853,76561198304024853,,9,1,0,8,0,0,0,1,player/profile current_name mismatch
